警察署,番号,事故内容,死者数,負傷者数,路線コード,市区町コード,市区町,発生年月日,発生時間,昼夜間_夜,曜日,天候,路面状態,道路形状,信号機,道路線形,事故類型,年齢(当事者1),年齢(当事者2),当事者種別(当事者1),当事者種別(当事者2),中央分離施設,緯度（北緯）,経度（東経）
垂水,319,負傷,0,1,長坂垂水線,108,神戸市垂水区,20190605,14,昼間_昼,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,35～44歳以下,乗用車(普通車),二輪車(251cc以上),中央線(ペイント),34.63846944,135.0459711
神戸西,523,負傷,0,1,神戸明石線,111,神戸市西区,20190605,17,昼間_昼,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,0～24歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.66863111,134.98733
有馬,159,負傷,0,1,三木三田線,109,神戸市北区,20190605,17,昼間_昼,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,45～54歳以下,65～74歳以下,乗用車(軽自動車),乗用車(軽自動車),中央線(ペイント),34.81394889,135.0997011
有馬,160,負傷,0,1,西脇三田線,109,神戸市北区,20190605,19,夜間_暮,水,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),人対車両,65～74歳以下,55～64歳以下,乗用車(普通車),歩行者,中央分離なし,34.87400306,135.2121111
有馬,161,負傷,0,1,北神中央線,109,神戸市北区,20190605,20,夜間_夜,水,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,0～24歳以下,0～24歳以下,乗用車(軽自動車),軽車両(自転車),中央分離なし,34.86588889,135.2130581
有馬,162,負傷,0,1,北神中央線,109,神戸市北区,20190605,6,昼間_昼,水,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,65～74歳以下,35～44歳以下,乗用車(大型車),乗用車(軽自動車),中央分離帯,34.834755,135.2180639
東灘,210,負傷,0,1,一般市道,101,神戸市東灘区,20190606,13,昼間_昼,木,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,35～44歳以下,0～24歳以下,貨物車(普通車),軽車両(自転車),中央分離なし,34.71134611,135.2612761
葺合,168,負傷,0,1,２号,110,神戸市中央区,20190606,7,昼間_昼,木,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,45～54歳以下,25～34歳以下,乗用車(普通車),乗用車(軽自動車),中央分離なし,34.69629111,135.2021969
葺合,169,負傷,0,1,山手幹線（神戸市）,110,神戸市中央区,20190606,12,昼間_昼,木,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,55～64歳以下,55～64歳以下,乗用車(普通車),二輪車(軽二輪),中央分離なし,34.70414611,135.20772
葺合,170,負傷,0,1,長田楠日尾線,110,神戸市中央区,20190606,12,昼間_昼,木,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,65～74歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.70616889,135.2025419
生田,232,負傷,0,2,山手幹線（神戸市）,110,神戸市中央区,20190606,10,昼間_昼,木,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,65～74歳以下,貨物車(大型車),乗用車(普通車),中央分離帯,34.68810694,135.1776731
兵庫,227,負傷,0,2,一般市道,105,神戸市兵庫区,20190606,13,昼間_昼,木,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,0～24歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.67220611,135.1717569
兵庫,228,負傷,0,1,２号,105,神戸市兵庫区,20190606,17,昼間_昼,木,晴,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(左・平坦),車両相互,45～54歳以下,25～34歳以下,貨物車(大型車),乗用車(普通車),中央分離帯,34.67309889,135.1767639
長田,224,負傷,0,1,一般交通の場所,106,神戸市長田区,20190606,14,昼間_昼,木,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,45～54歳以下,35～44歳以下,貨物車(大型車),乗用車(普通車),一般交通の場所,34.64886194,135.1559811
長田,231,負傷,0,1,一般市道,106,神戸市長田区,20190606,12,昼間_昼,木,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,65～74歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.65977194,135.1453781
須磨,209,負傷,0,1,神戸三木線,107,神戸市須磨区,20190606,17,昼間_昼,木,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),二輪車(原付二種),中央線(ペイント),34.67424611,135.1184011
垂水,320,負傷,0,1,一般市道,108,神戸市垂水区,20190606,8,昼間_昼,木,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,0～24歳以下,55～64歳以下,軽車両(駆動補助機付自転車),軽車両(駆動補助機付自転車),中央分離なし,34.65472389,135.0696711
有馬,164,負傷,0,1,神戸三田線,109,神戸市北区,20190606,16,昼間_昼,木,晴,乾燥,交差点付近(その他),施設なし,カーブ・屈折(右・平坦),車両相互,45～54歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.85448889,135.2284819
東灘,207,負傷,0,1,山手幹線（神戸市）,101,神戸市東灘区,20190607,7,昼間_昼,金,雨,湿潤,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.72773611,135.2781319
東灘,217,負傷,0,1,一般市道,101,神戸市東灘区,20190607,5,昼間_明,金,曇,乾燥,交差点(その他),施設なし,直線(上り),車両相互,45～54歳以下,55～64歳以下,乗用車(普通車),二輪車(原付自転車),中央分離なし,34.72773889,135.2769319
灘,192,負傷,0,1,灘三田線,102,神戸市灘区,20190607,9,昼間_昼,金,雨,湿潤,単路(カーブ・屈折),施設なし,カーブ・屈折(右・上り),車両相互,75歳以上,0～24歳以下,乗用車(普通車),二輪車(原付自転車),中央線(ペイント),34.72699194,135.2390361
灘,193,負傷,0,1,一般市道,102,神戸市灘区,20190607,10,昼間_昼,金,雨,湿潤,交差点(その他),施設なし,直線(平坦),車両相互,45～54歳以下,45～54歳以下,二輪車(原付自転車),乗用車(普通車),中央分離なし,34.71947694,135.2259589
葺合,171,負傷,0,1,一般市道,110,神戸市中央区,20190607,8,昼間_昼,金,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,45～54歳以下,55～64歳以下,貨物車(普通車),軽車両(自転車),中央分離なし,34.70399389,135.2013231
葺合,173,負傷,0,2,２号,110,神戸市中央区,20190607,15,昼間_昼,金,曇,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.69572806,135.2001989
生田,205,負傷,0,1,新神戸停車場線,110,神戸市中央区,20190607,19,夜間_暮,金,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),人対車両,65～74歳以下,45～54歳以下,乗用車(普通車),歩行者,中央分離なし,34.69161194,135.1952019
兵庫,253,負傷,0,1,２号,105,神戸市兵庫区,20190607,9,昼間_昼,金,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,75歳以上,45～54歳以下,貨物車(軽自動車),乗用車(普通車),中央分離帯,34.67437889,135.1775781
長田,225,負傷,0,1,長田神社前バス道線,106,神戸市長田区,20190607,7,昼間_昼,金,雨,湿潤,交差点(その他),点灯(３灯式),直線(下り),車両相互,75歳以上,45～54歳以下,乗用車(普通車),二輪車(軽二輪),中央分離なし,34.67368,135.1461889
長田,226,負傷,0,1,中央幹線,106,神戸市長田区,20190607,22,夜間_夜,金,曇,乾燥,交差点付近(その他),点灯(３灯式),カーブ・屈折(左・平坦),車両相互,55～64歳以下,35～44歳以下,乗用車(普通車),二輪車(軽二輪),中央分離帯,34.66730306,135.1520811
垂水,321,負傷,0,1,一般市道,108,神戸市垂水区,20190607,9,昼間_昼,金,雨,湿潤,交差点(その他),点灯(３灯式),直線(平坦),車両相互,55～64歳以下,75歳以上,貨物車(準中型車),貨物車(軽自動車),中央分離なし,34.63198861,135.0501097
神戸西,527,負傷,0,1,一般市道,111,神戸市西区,20190607,7,昼間_昼,金,雨,湿潤,交差点(その他),点灯(３灯式),直線(平坦),人対車両,25～34歳以下,65～74歳以下,乗用車(普通車),歩行者,中央分離なし,34.66567694,135.0272061
神戸西,529,負傷,0,1,１７５号,111,神戸市西区,20190607,21,夜間_夜,金,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,45～54歳以下,乗用車(普通車),軽車両(自転車),中央線(ペイント),34.751395,134.9885181
神戸北,152,負傷,0,1,小部明石線,109,神戸市北区,20190607,10,昼間_昼,金,雨,湿潤,単路(カーブ・屈折),施設なし,カーブ・屈折(右・上り),車両単独,25～34歳以下,不明・単独事故,貨物車(軽自動車),物件等,中央線(ペイント),34.72968611,135.0933881
生田,206,負傷,0,1,中央幹線,110,神戸市中央区,20190608,19,昼間_暮,土,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,25～34歳以下,25～34歳以下,貨物車(普通車),軽車両(自転車),中央分離なし,34.68920778,135.1854933
生田,255,負傷,0,1,一般市道,110,神戸市中央区,20190608,11,昼間_昼,土,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(軽自動車),乗用車(普通車),中央分離なし,34.68373806,135.1805639
兵庫,230,負傷,0,1,一般市道,105,神戸市兵庫区,20190608,6,昼間_昼,土,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),人対車両,65～74歳以下,65～74歳以下,貨物車(軽自動車),歩行者,中央分離なし,34.67475611,135.1583119
兵庫,234,負傷,0,1,一般市道,105,神戸市兵庫区,20190608,12,昼間_昼,土,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,45～54歳以下,乗用車(普通車),二輪車(軽二輪),中央分離なし,34.67387306,135.1682411
兵庫,235,負傷,0,1,一般市道,105,神戸市兵庫区,20190608,16,昼間_昼,土,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,65～74歳以下,35～44歳以下,乗用車(普通車),二輪車(軽二輪),中央分離なし,34.67262611,135.1746019
兵庫,259,負傷,0,1,一般市道,105,神戸市兵庫区,20190608,6,昼間_昼,土,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,0～24歳以下,25～34歳以下,乗用車(軽自動車),乗用車(軽自動車),中央線(ペイント),34.67510889,135.1588661
垂水,322,負傷,0,1,神戸加古川姫路線,108,神戸市垂水区,20190608,14,昼間_昼,土,晴,乾燥,交差点付近(その他),施設なし,カーブ・屈折(左・平坦),車両相互,45～54歳以下,75歳以上,貨物車(軽自動車),乗用車(軽自動車),中央分離帯,34.6492625,135.0785808
垂水,323,負傷,0,1,一般市道,108,神戸市垂水区,20190608,19,夜間_暮,土,晴,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(右・平坦),人対車両,55～64歳以下,45～54歳以下,乗用車(普通車),歩行者,中央分離なし,34.65841194,135.0705819
神戸水上,93,負傷,0,2,港湾道,110,神戸市中央区,20190608,15,昼間_昼,土,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,45～54歳以下,35～44歳以下,乗用車(普通車),乗用車(軽自動車),中央分離帯,34.68522806,135.1974461
神戸西,530,負傷,0,1,一般市道,111,神戸市西区,20190608,12,昼間_昼,土,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,55～64歳以下,0～24歳以下,乗用車(軽自動車),軽車両(自転車),中央分離なし,34.71688694,134.9401431
神戸西,532,負傷,0,1,一般市道,111,神戸市西区,20190608,22,夜間_夜,土,曇,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,0～24歳以下,二輪車(原付自転車),乗用車(軽自動車),中央分離なし,34.669385,135.0191619
灘,194,負傷,0,1,２号,102,神戸市灘区,20190609,14,昼間_昼,日,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,45～54歳以下,0～24歳以下,乗用車(普通車),軽車両(自転車),中央分離帯,34.70365111,135.2227789
生田,207,負傷,0,1,２号,110,神戸市中央区,20190609,14,昼間_昼,日,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,0～24歳以下,45～54歳以下,軽車両(自転車),乗用車(普通車),中央分離なし,34.68174806,135.1823461
生田,208,負傷,0,1,栄町線,110,神戸市中央区,20190609,19,昼間_暮,日,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.68325889,135.18126
長田,228,負傷,0,1,長田線,106,神戸市長田区,20190609,10,昼間_昼,日,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,45～54歳以下,45～54歳以下,乗用車(普通車),二輪車(原付二種),中央分離なし,34.66343972,135.1555144
長田,229,負傷,0,1,一般市道,106,神戸市長田区,20190609,17,昼間_昼,日,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,55～64歳以下,45～54歳以下,乗用車(軽自動車),軽車両(自転車),中央線(ペイント),34.65964889,135.1518589
垂水,324,負傷,0,2,一般市道,108,神戸市垂水区,20190609,11,昼間_昼,日,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,65～74歳以下,貨物車(軽自動車),乗用車(普通車),中央線(ペイント),34.63956611,135.0479281
垂水,325,負傷,0,1,２号,108,神戸市垂水区,20190609,16,昼間_昼,日,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.65974389,135.0397889
神戸西,534,負傷,0,1,一般市道,111,神戸市西区,20190609,7,昼間_昼,日,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),人対車両,55～64歳以下,35～44歳以下,乗用車(普通車),歩行者,中央分離なし,34.72538306,135.0096819
神戸西,536,負傷,0,1,一般市道,111,神戸市西区,20190609,13,昼間_昼,日,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,25～34歳以下,45～54歳以下,乗用車(軽自動車),二輪車(原付自転車),中央線(ペイント),34.66948,135.0354519
神戸西,537,負傷,0,1,一般市道,111,神戸市西区,20190609,21,夜間_夜,日,晴,乾燥,交差点(その他),施設なし,直線(平坦),人対車両,35～44歳以下,25～34歳以下,乗用車(普通車),歩行者,中央線(ペイント),34.67214806,135.0149719
神戸西,561,負傷,0,1,一般交通の場所,111,神戸市西区,20190609,14,昼間_昼,日,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,25～34歳以下,25～34歳以下,貨物車(普通車),乗用車(普通車),一般交通の場所,34.68795,135.043465
神戸西,641,負傷,0,1,一般交通の場所,111,神戸市西区,20190609,13,昼間_昼,日,晴,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,65～74歳以下,35～44歳以下,乗用車(普通車),乗用車(軽自動車),一般交通の場所,34.72550333,135.0108464
有馬,165,負傷,0,1,一般市道,109,神戸市北区,20190609,10,昼間_昼,日,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,45～54歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.84549389,135.2299339
有馬,166,負傷,0,1,一般市道,109,神戸市北区,20190609,18,昼間_暮,日,曇,乾燥,単路(その他),施設なし,直線(平坦),人対車両,65～74歳以下,45～54歳以下,乗用車(普通車),歩行者,中央線(ペイント),34.80746194,135.2141039
有馬,167,負傷,0,1,一般市道,109,神戸市北区,20190609,23,夜間_夜,日,曇,乾燥,交差点(その他),施設なし,カーブ・屈折(左・下り),車両相互,0～24歳以下,不明・単独事故,軽車両(自転車),対象外当事者,中央線(ペイント),34.81054694,135.232295
高速隊,374,負傷,0,1,阪神高速神戸西宮,102,神戸市灘区,20190610,11,昼間_昼,月,曇,乾燥,単路(橋),施設なし,カーブ・屈折(右・平坦),車両相互,65～74歳以下,25～34歳以下,乗用車(普通車),貨物車(大型車),中央分離帯,34.70278389,135.2214481
東灘,211,負傷,0,1,鳴尾御影線,101,神戸市東灘区,20190610,17,昼間_昼,月,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,55～64歳以下,35～44歳以下,乗用車(軽自動車),二輪車(原付二種),中央線(ペイント),34.71122361,135.2461536
灘,195,負傷,0,1,神戸港港湾幹線,102,神戸市灘区,20190610,11,昼間_昼,月,曇,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(右・下り),車両相互,55～64歳以下,45～54歳以下,貨物車(大型車),乗用車(普通車),中央分離なし,34.69715611,135.224995
長田,230,負傷,0,1,中央幹線,106,神戸市長田区,20190610,9,昼間_昼,月,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,75歳以上,0～24歳以下,乗用車(普通車),二輪車(原付自転車),中央分離なし,34.66783306,135.1560383
須磨,211,負傷,0,1,２号,107,神戸市須磨区,20190610,14,昼間_昼,月,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,25～34歳以下,55～64歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.64383889,135.1187411
垂水,326,負傷,0,1,一般市道,108,神戸市垂水区,20190610,11,昼間_昼,月,曇,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(右・平坦),車両相互,25～34歳以下,55～64歳以下,貨物車(軽自動車),二輪車(原付自転車),中央分離なし,34.64154806,135.0227081
神戸水上,94,負傷,0,1,港島トンネル線,110,神戸市中央区,20190610,11,昼間_昼,月,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,65～74歳以下,45～54歳以下,貨物車(準中型車),貨物車(大型車),中央分離帯,34.67611806,135.2129469
神戸西,540,負傷,0,1,神戸明石線,111,神戸市西区,20190610,8,昼間_昼,月,曇,乾燥,単路(その他),施設なし,直線(平坦),車両相互,25～34歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.668565,134.9796969
神戸西,541,負傷,0,2,一般市道,111,神戸市西区,20190610,10,昼間_昼,月,晴,乾燥,交差点付近(その他),施設なし,カーブ・屈折(右・平坦),車両相互,55～64歳以下,45～54歳以下,乗用車(普通車),貨物車(普通車),中央線(ペイント),34.66129194,135.0225019
有馬,168,負傷,0,2,一般市道,109,神戸市北区,20190610,18,昼間_暮,月,曇,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,0～24歳以下,55～64歳以下,乗用車(軽自動車),乗用車(普通車),中央分離なし,34.85842806,135.2109731
神戸北,153,負傷,0,1,一般市道,109,神戸市北区,20190610,9,昼間_昼,月,曇,乾燥,単路(その他),施設なし,直線(平坦),人対車両,35～44歳以下,75歳以上,貨物車(普通車),歩行者,中央線(ペイント),34.73621194,135.1560881
東灘,212,負傷,0,1,４３号,101,神戸市東灘区,20190611,9,昼間_昼,火,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,25～34歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.72401139,135.2993719
東灘,213,負傷,0,1,一般市道,101,神戸市東灘区,20190611,19,昼間_暮,火,晴,乾燥,交差点(その他),施設なし,直線(平坦),人対車両,45～54歳以下,25～34歳以下,乗用車(普通車),歩行者,中央分離なし,34.72912389,135.2930131
生田,210,負傷,0,2,４２８号,110,神戸市中央区,20190611,11,昼間_昼,火,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,35～44歳以下,0～24歳以下,乗用車(軽自動車),二輪車(軽二輪),中央分離なし,34.67901694,135.1742789
生田,211,負傷,0,1,山手幹線（神戸市）,110,神戸市中央区,20190611,15,昼間_昼,火,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),人対車両,不明・単独事故,55～64歳以下,対象外当事者,歩行者,中央分離帯,34.69777,135.1930011
兵庫,236,負傷,0,2,中央幹線,105,神戸市兵庫区,20190611,9,昼間_昼,火,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,75歳以上,55～64歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.67853694,135.1731539
兵庫,237,負傷,0,1,湊町線,105,神戸市兵庫区,20190611,18,昼間_暮,火,晴,乾燥,交差点(その他),点灯(３灯式),直線(下り),車両相互,0～24歳以下,45～54歳以下,乗用車(普通車),二輪車(原付二種),中央分離なし,34.68198694,135.1631839
垂水,327,負傷,0,1,一般市道,108,神戸市垂水区,20190611,17,昼間_昼,火,晴,乾燥,交差点(その他),施設なし,直線(平坦),人対車両,45～54歳以下,0～24歳以下,乗用車(普通車),歩行者,中央分離なし,34.66299861,135.0775844
神戸水上,95,負傷,0,2,浜手幹線,110,神戸市中央区,20190611,15,昼間_昼,火,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,55～64歳以下,55～64歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.69174694,135.2025069
神戸西,543,負傷,0,1,小部明石線,111,神戸市西区,20190611,17,昼間_昼,火,曇,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),軽車両(自転車),中央線(ペイント),34.66466056,134.9920881
神戸西,554,負傷,0,1,１７５号,111,神戸市西区,20190611,15,昼間_昼,火,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両単独,25～34歳以下,不明・単独事故,乗用車(大型車),相手なし,中央分離帯,34.67033611,134.980885
有馬,169,負傷,0,1,神戸三田線,109,神戸市北区,20190611,20,夜間_暮,火,曇,乾燥,交差点付近(その他),施設なし,カーブ・屈折(右・平坦),車両相互,35～44歳以下,25～34歳以下,乗用車(普通車),貨物車(軽自動車),中央線(ペイント),34.78711194,135.20874
神戸北,154,負傷,0,1,一般市道,109,神戸市北区,20190611,19,夜間_暮,火,曇,乾燥,交差点(その他),施設なし,直線(平坦),人対車両,55～64歳以下,75歳以上,乗用車(普通車),歩行者,中央分離なし,34.69885194,135.1203289
神戸北,196,負傷,0,1,明石神戸宝塚線,109,神戸市北区,20190611,15,昼間_昼,火,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,45～54歳以下,35～44歳以下,乗用車(軽自動車),乗用車(軽自動車),中央分離なし,34.73965806,135.1523611
東灘,214,負傷,0,1,２号,101,神戸市東灘区,20190612,8,昼間_昼,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,55～64歳以下,45～54歳以下,乗用車(普通車),二輪車(251cc以上),中央分離帯,34.71619806,135.2516281
葺合,172,負傷,0,2,２号,110,神戸市中央区,20190612,14,昼間_昼,水,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,25～34歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.70078194,135.2124239
生田,213,負傷,0,1,一般市道,110,神戸市中央区,20190612,19,昼間_暮,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,不明・単独事故,0～24歳以下,対象外当事者,軽車両(自転車),中央分離なし,34.68690889,135.1876719
生田,214,負傷,0,1,一般市道,110,神戸市中央区,20190612,20,夜間_夜,水,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,45～54歳以下,45～54歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.69553694,135.1927561
兵庫,238,負傷,0,1,４２８号,105,神戸市兵庫区,20190612,16,昼間_昼,水,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,45～54歳以下,35～44歳以下,乗用車(普通車),貨物車(普通車),中央線(ペイント),34.69071111,135.1674331
兵庫,239,負傷,0,2,一般市道,105,神戸市兵庫区,20190612,20,夜間_夜,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,25～34歳以下,65～74歳以下,二輪車(原付自転車),二輪車(401cc以上),中央分離なし,34.68919694,135.1694581
長田,233,負傷,0,1,一般市道,106,神戸市長田区,20190612,0,夜間_夜,水,晴,乾燥,交差点付近(その他),点灯(３灯式),直線(平坦),人対車両,不明・単独事故,35～44歳以下,対象外当事者,歩行者,中央分離帯,34.657335,135.14437
長田,234,負傷,0,1,一般市道,106,神戸市長田区,20190612,8,昼間_昼,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,65～74歳以下,25～34歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.66714194,135.1508919
長田,235,負傷,0,1,２号,106,神戸市長田区,20190612,15,昼間_昼,水,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,65～74歳以下,45～54歳以下,貨物車(準中型車),軽車両(自転車),中央分離なし,34.65572389,135.147635
須磨,214,負傷,0,1,一般市道,107,神戸市須磨区,20190612,8,昼間_昼,水,晴,乾燥,交差点(その他),点灯(３灯式),直線(平坦),車両相互,0～24歳以下,35～44歳以下,二輪車(原付二種),乗用車(普通車),中央分離なし,34.67393306,135.0984692
須磨,215,負傷,0,1,神戸明石線,107,神戸市須磨区,20190612,20,夜間_夜,水,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,0～24歳以下,25～34歳以下,乗用車(普通車),二輪車(原付二種),中央分離帯,34.65708611,135.136395
垂水,328,負傷,0,1,一般交通の場所,108,神戸市垂水区,20190612,10,昼間_昼,水,曇,乾燥,一般交通の場所,施設なし,一般交通の場所,車両相互,25～34歳以下,55～64歳以下,乗用車(普通車),二輪車(原付自転車),一般交通の場所,34.64030111,135.0306161
垂水,329,負傷,0,1,一般市道,108,神戸市垂水区,20190612,16,昼間_昼,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,0～24歳以下,65～74歳以下,軽車両(自転車),二輪車(原付二種),中央線(ペイント),34.66407194,135.0530928
垂水,330,負傷,0,1,一般市道,108,神戸市垂水区,20190612,20,夜間_夜,水,晴,乾燥,交差点(その他),施設なし,直線(平坦),車両相互,25～34歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央線(ペイント),34.64613972,135.0590419
神戸西,544,負傷,0,2,神戸明石線,111,神戸市西区,20190612,16,昼間_昼,水,晴,乾燥,交差点付近(その他),施設なし,直線(平坦),車両相互,0～24歳以下,55～64歳以下,貨物車(普通車),乗用車(軽自動車),中央線(ペイント),34.66599111,134.9978369
神戸西,545,負傷,0,1,一般市道,111,神戸市西区,20190612,15,昼間_昼,水,晴,乾燥,交差点(その他),施設なし,直線(下り),車両相互,35～44歳以下,65～74歳以下,乗用車(普通車),軽車両(自転車),中央分離なし,34.66747306,135.0366169
有馬,170,負傷,0,2,三木三田線,109,神戸市北区,20190612,16,昼間_昼,水,晴,乾燥,単路(カーブ・屈折),施設なし,カーブ・屈折(左・上り),車両単独,25～34歳以下,不明・単独事故,乗用車(軽自動車),物件等,中央線(ペイント),34.82235,135.1649119
高速隊,344,負傷,0,1,阪神高速神戸西宮,102,神戸市灘区,20190613,16,昼間_昼,木,晴,乾燥,単路(橋),施設なし,直線(平坦),車両相互,25～34歳以下,55～64歳以下,乗用車(軽自動車),乗用車(普通車),中央分離帯,34.70740806,135.2368061
東灘,216,負傷,0,1,４３号,101,神戸市東灘区,20190613,6,昼間_昼,木,晴,乾燥,単路(その他),施設なし,直線(平坦),車両相互,65～74歳以下,35～44歳以下,乗用車(普通車),乗用車(普通車),中央分離帯,34.72236889,135.2952631
灘,277,負傷,0,1,灘三田線,102,神戸市灘区,20190613,14,昼間_昼,木,晴,乾燥,交差点(その他),点灯(３灯式),直線(下り),車両相互,65～74歳以下,45～54歳以下,乗用車(普通車),乗用車(普通車),中央分離なし,34.73537111,135.2385231
葺合,174,負傷,0,1,２号,110,神戸市中央区,20190613,15,昼間_昼,木,晴,乾燥,単路(その他),施設なし,直線(上り),車両相互,35～44歳以下,35～44歳以下,乗用車(普通車),貨物車(大型車),中央分離帯,34.70013194,135.2110453
